"Pos","Game","Genre","Publisher","North America","Europe","Japan","Rest of World","Global","Year Release"
191,F1 2016 (Codemasters),Racing,Codemasters,0.09,0.12,0,0.02,0.22,"2016-01-01"
192,Deadpool,Action,Activision,0.17,0.03,0,0.02,0.22,"2015-01-01"
193,The Amazing Spider-Man 2 (2014),Action-Adventure,Activision,0.12,0.08,0,0.02,0.22,"2014-01-01"
194,Kingdom Come: Deliverance,Role-Playing,Deep Silver,0.14,0.06,0,0.02,0.22,"2018-01-01"
195,Lords of the Fallen,Role-Playing,Square Enix,0.1,0.1,0,0.02,0.22,"2014-01-01"
196,Super Lucky's Tale,Platform,Microsoft Studios,0.13,0.07,0,0.02,0.22,"2017-01-01"
197,DiRT Rally,Racing,Codemasters,0.12,0.08,0,0.02,0.21,"2016-01-01"
198,Just Dance 2018,Music,Ubisoft,0.15,0.04,0,0.02,0.21,"2017-01-01"
199,Homefront: The Revolution,Shooter,Deep Silver,0.1,0.09,0,0.02,0.21,"2016-01-01"
200,State of Decay,Action-Adventure,Microsoft Studios,0.14,0.05,0,0.02,0.21,"2015-01-01"
201,NBA Live 18,Sports,EA Sports,0.18,0,0,0.02,0.21,"2017-01-01"
202,TheHunter: Call of the Wild,Shooter,Astragon,0.18,0,0,0.02,0.21,"2017-01-01"
203,Sleeping Dogs,Action-Adventure,Square Enix,0.1,0.09,0,0.02,0.2,"2014-01-01"
204,Project CARS 2,Racing,Namco Bandai Games,0.01,0.18,0,0.01,0.2,"2017-01-01"
205,Batman: Return to Arkham,Action,Warner Bros. Interactive Entertainment,0.12,0.06,0,0.02,0.2,"2016-01-01"
206,Dishonored,Action,Bethesda Softworks,0.13,0.05,0,0.02,0.19,"2015-01-01"
207,One Piece: Burning Blood,Fighting,Namco Bandai Games,0.11,0.07,0,0.02,0.19,"2016-01-01"
208,Fantasia: Music Evolved,Music,Disney Interactive Studios,0.14,0.03,0,0.02,0.19,"2014-01-01"
209,Mirror's Edge 2,Platform,Electronic Arts,0.11,0.06,0,0.02,0.19,"2016-01-01"
211,Naruto to Boruto: Shinobi Striker,Action,Bandai Namco Games,0.17,0,0,0.02,0.19,"2018-01-01"
212,XCOM 2,Strategy,"2K Games",0.15,0.02,0,0.02,0.19,"2016-01-01"
213,F1 2017,Racing,Koch Media,0.04,0.13,0,0.01,0.19,"2017-01-01"
214,Shape Up,Sports,Ubisoft,0.08,0.09,0,0.01,0.18,"2014-01-01"
215,Cities: Skylines,Simulation,Deep Silver,0.13,0.03,0,0.02,0.18,"2017-01-01"
216,Sniper: Ghost Warrior 3,Shooter,City Interactive,0.11,0.05,0,0.02,0.18,"2017-01-01"
217,Project Spark (Working Title),Misc,Microsoft Studios,0.11,0.05,0,0.02,0.17,"2014-01-01"
218,Rush: A Disney Pixar Adventure,Adventure,Microsoft Studios,0.15,0,0,0.02,0.17,"2017-01-01"
219,Fighter Within,Fighting,Ubisoft,0.08,0.07,0,0.01,0.17,"2013-01-01"
220,Murdered: Soul Suspect,Action-Adventure,Square Enix,0.08,0.07,0,0.01,0.17,"2014-01-01"
221,Pac-Man Championship Edition 2 + Arcade Game Series,Action,Namco Bandai Games,0.15,0,0,0.02,0.16,"2016-01-01"
222,Angry Birds: Star Wars,Puzzle,Activision,0.11,0.04,0,0.02,0.16,"2013-01-01"
223,Little Nightmares,Platform,Namco Bandai Games,0.12,0.03,0,0.02,0.16,"2017-01-01"
