"Game_ID","Game_Name","Genre"
498,Army Men: Green Rogue,Action
499,Army Men: Major Malfunction,Shooter
500,Army Men: RTS,Strategy
501,Army Men: Sarge's Heroes,Action
502,Army Men: Sarge's Heroes 2,Shooter
503,Army Men: Sarge's War,Shooter
504,Army Men: Soldiers of Misfortune,Shooter
505,Army Rescue,Shooter
506,Army of Two,Shooter
507,Army of Two: The 40th Day,Shooter
508,Army of Two: The Devil's Cartel,Shooter
509,Around the World in 80 Days,Action
510,Arslan: The Warriors of Legend,Action
511,Art Academy,Misc
512,Art Academy: Home Studio,Misc
513,Art Academy: Lessons for Everyone,Action
514,Art of Fighting 3: The Path of the Warrior,Fighting
515,Art of Fighting Anthology,Fighting
516,Arthur and the Invisibles,Adventure
517,Arthur! Ready to Race,Racing
518,Arx Fatalis,Role-Playing
519,Ashes Cricket 2009,Sports
520,Asphalt 3D,Racing
521,Asphalt: Injection,Action
522,Asphalt: Urban GT,Racing
523,Asphalt: Urban GT 2,Racing
524,Assassin's Creed,Adventure
525,Assassin's Creed Chronicles,Action
526,Assassin's Creed Chronicles: China,Action
527,Assassin's Creed Chronicles: China,Action-Adventure
528,Assassin's Creed II,Action
529,Assassin's Creed II: Discovery,Action
530,Assassin's Creed III,Action
531,Assassin's Creed III: Liberation,Action
532,Assassin's Creed IV: Black Flag,Action
533,Assassin's Creed IV: Black Flag,Action-Adventure
534,Assassin's Creed Origins,Action
535,Assassin's Creed Syndicate,Action
536,Assassin's Creed The Ezio Collection,Action
537,Assassin's Creed: Altair's Chronicles,Platform
538,Assassin's Creed: Bloodlines,Action
539,Assassin's Creed: Brotherhood,Action
540,Assassin's Creed: Revelations,Action
541,Assassin's Creed: Rogue,Action
542,Assassin's Creed: Unity,Action
543,Assassin's Creed: Victory,Action
544,Assassination Classroom: Grand Siege on Kuro-sensei,Action
545,Assault,Action
546,Assault Rigs,Action
547,Assault Suit Leynos,Shooter
548,Assault: Retribution,Action
549,Assetto Corsa,Racing
550,Asterix & Obelix: Kick Buttix,Action
551,Asteroids,Shooter
552,Asteroids Hyper 64,Shooter
553,Astonishia Story,Role-Playing
554,Astro Boy,Action
555,Astro Boy: Omega Factor,Action
556,Astro Boy: The Video Game,Action
557,Astroblast,Action
558,Astrology DS,Misc
559,Asura's Wrath,Action
560,Atari Anniversary Advance,Misc
561,Atari Anniversary Edition Redux,Misc
562,Atari Anthology,Misc
563,Atari Classics Evolved,Misc
564,Atari Flashback Classics: Volume 1,Misc
565,Atari Flashback Classics: Volume 2,Misc
566,Atari's Greatest Hits: Volume 1,Misc
567,Atari's Greatest Hits: Volume 2,Misc
568,Atelier Annie: Alchemists of Sera Island,Role-Playing
569,Atelier Ayesha: The Alchemist of Dusk,Role-Playing
570,Atelier Escha & Logy: Alchemists of the Dusk Sky,Role-Playing
571,Atelier Firis: The Alchemist of the Mysterious Journey,Role-Playing
572,Atelier Iris 2: The Azoth Of Destiny,Role-Playing
573,Atelier Iris 3: Grand Phantasm (JP Sales),Role-Playing
574,Atelier Iris 3: Grand Phantasm (US Sales),Role-Playing
575,Atelier Iris: Eternal Mana,Role-Playing
576,Atelier Liddy and Soeur: Alchemists of the Mysterious Painting,Role-Playing
577,Atelier Meruru: Alchemist of Arland 3,Role-Playing
578,Atelier Rorona: Alchemist of Arland,Role-Playing
579,Atelier Shallie Plus: Alchemists of the Dusk Sea,Role-Playing
580,Atelier Shallie: Alchemists of the Dusk Sea,Role-Playing
581,Atelier Sophie,Role-Playing
582,Atelier Sophie: The Alchemist of the Mysterious Book,Role-Playing
583,Atelier Totori: The Adventurer of Arland,Role-Playing
584,Athens 2004,Sports
585,Atlantic Quest,Puzzle
586,Atlantis,Shooter
587,Atomic Betty,Puzzle
588,Atsumare! Power Pro Kun no DS Koushien,Sports
589,Attack of the Movies 3D,Shooter
590,Attack on Titan (KOEI),Action
591,Attack on Titan 2,Action
592,Attack on Titan: Humanity in Chains,Action
593,Auto Destruct,Action
594,Auto Modellista,Racing
595,Automobili Lamborghini,Racing
596,Avalon Code,Role-Playing
597,Avatar: The Game,Action
598,Avatar: The Last Airbender,Adventure
599,Avatar: The Last Airbender - Into the Inferno,Adventure
600,Avatar: The Last Airbender - The Burning Earth,Action
601,Aven Colony,Strategy
602,Away: Shuffle Dungeon,Role-Playing
603,Awesomenauts,Misc
604,Axiom Verge,Action
605,Azada,Puzzle
606,Azure Dreams,Role-Playing
607,Azure Striker Gunvolt,Action
608,Azure Striker Gunvolt: Striker Pack,Action
609,Azurik: Rise of Perathia,Action
610,B's-LOG Partyâª,Adventure
611,B-17: Fortress in the Sky,Simulation
612,B-Boy,Misc
613,B.L.U.E.: Legend of Water,Adventure
614,"BCFX: The Black College Football Xperience, The Doug Williams Edition",Sports
615,BIT.TRIP COMPLETE,Misc
616,BIT.TRIP SAGA,Misc
617,BMX XXX,Sports
618,BRAHMA Force: The Assault on Beltlogger 9,Shooter
619,Baby Pals,Simulation
620,Babysitting Mama,Simulation
621,Babysitting Mania,Simulation
622,Back At The Barnyard: Slop Bucket Games,Sports
623,Back to the Future: The Game,Adventure
624,Backbreaker,Sports
625,Backstreet Billiards,Misc
626,Backyard Baseball,Sports
627,Backyard Baseball '09,Sports
628,Backyard Baseball '10,Sports
629,Backyard Baseball 2006,Sports
630,Backyard Basketball,Sports
631,Backyard Hockey,Sports
632,Backyard NBA Basketball,Sports
633,Backyard NFL Football,Sports
634,Backyard NFL Football '08,Sports
635,Backyard NFL Football '09,Sports
636,Backyard NFL Football '10,Sports
637,Backyard NFL Football 2006,Sports
638,Backyard Skateboarding 2006,Sports
639,Backyard Soccer,Sports
640,Backyard Sports Football: Rookie Rush,Sports
641,Backyard Sports: Sandlot Sluggers,Sports
642,Backyard Wrestling 2: There Goes the Neighborhood,Fighting
643,Backyard Wrestling: Don't Try This at Home,Fighting
644,Bad Apple Wars,Action
645,Bad Boys: Miami Takedown,Shooter
646,Bae Yong-joon to Manabu Kankokugo DS,Misc
647,Bahamut Lagoon,Role-Playing
648,Baja: Edge of Control,Racing
649,Baja: Edge of Control HD,Racing
650,Bakemonogatari Portable,Action
651,Baku Baku,Puzzle
652,Bakugan Battle Brawlers: Defenders of the Core,Action
653,Bakugan: Battle Brawlers,Action
654,Bakugan: Battle Trainer,Action
655,Bakugan: Rise of the Resistance,Strategy
656,Bakumatsu Koihana: Shinsengumi DS,Adventure
657,Bakumatsu Renka: Karyuu Kenshi-den,Adventure
658,Bakumatsu Rock,Action
